"Source:","C:\Users\Marki004\surfdrive\Afstudeerstage  HPT UU 22-23\PCB\Meetmodule large display\Meetmodule V2.kicad_sch"
"Date:","19-12-2022 17:48:49"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","100"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"","","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~","","","",""
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C2","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C3","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C4","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C5","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C6","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C7","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C8","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C9","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C10","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C11","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C12","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C13","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C14","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C15","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C16","15pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C17","15pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C18","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C19","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C20","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C21","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C22","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C23","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C24","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C25","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C26","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C27","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C28","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C29","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C30","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C31","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C32","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C33","1nF/2kV","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"","","C34","18pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C35","18pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C36","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C37","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C38","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","C39","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"","","D1","BAT60A","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","","","",""
"","","D2","BAT60A","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","","","",""
"","","D3","LED","Device:LED","HPT:LED","~","","","",""
"","","D4","ESD9B3.3ST5G","Diode:ESD9B3.3ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","",""
"","","D5","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","",""
"","","D6","ESD9B3.3ST5G","Diode:ESD9B3.3ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","",""
"","","D7","ESD9B3.3ST5G","Diode:ESD9B3.3ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","",""
"","","J1","USB_B_Micro","Connector:USB_B_Micro","HPT:Micro USB, Type B","~","","","",""
"","","J2","Ethernet_(100_Base-T_&_PoE)","HPT:Ethernet_(100_Base-T_&_PoE)","HPT:PoE, 10 Pin with LED","","","","",""
"","","J3","Display","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","",""
"","","J4","Extra I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"","","J5","Debugger","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"","","L1","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","L2","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","L3","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"","","MOD1","Adafruit_3847_connector","HPT:Adafruit_3847_connector","HPT:Adafruit 3847 connector","","","","",""
"","","Q1","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","",""
"","","R1","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R2","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R3","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R4","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R5","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R6","200k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R7","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R8","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R9","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R10","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R11","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R12","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R13","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R14","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R15","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R16","4k7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R17","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R18","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R19","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R20","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R21","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R22","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R23","12K/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R24","300R/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R25","1M","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R26","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R27","4R7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R28","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R29","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","R30","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"","","SW1","BOOTSEL","Switch:SW_Push","HPT:Switch","~","","","",""
"","","SW2","RESET","Switch:SW_Push","HPT:Switch","~","","","",""
"","","SW3","Display","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","",""
"","","U1","NCP1117-3.3_TO252","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","",""
"","","U2","USB6B1","Power_Protection:USB6B1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/3e/ec/b2/54/b2/76/47/90/CD00001361.pdf/files/CD00001361.pdf/jcr:content/translations/en.CD00001361.pdf","","","",""
"","","U3","RP2040","MCU_RaspberryPi:RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","","","",""
"","","U4","W25Q16JVUXIQ","HPT:W25Q16JVUXIQ","SON50P300X200X60-9N","","SPIFLASH, 3V, 16M-BIT, 4KB UNIFO","0.6mm","Winbond","W25Q16JVUXIQ"
"","","U5","W5100S","HPT:W5100S","HPT:LQFP48","","","","",""
"","","U6","SCD4x","HPT:SCD4x","HPT:SDC4x","","","","",""
"","","U7","SGP41","HPT:SGP41","HPT:XDCR_SGP41-D-R4","","","","",""
"","","U8","SHT4x","HPT:SHT4x","HPT:SHT4x","","","","",""
"","","Y1","12MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
"","","Y2","25MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"1","1","BZ1","Buzzer","Device:Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~","","","",""
"2","25","C1, C2, C3, C4, C5, C6, C7, C8, C9, C15, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C32, C36, C39","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"3","2","C10, C11","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"4","7","C12, C13, C14, C24, C31, C37, C38","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"5","2","C16, C17","15pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"6","1","C33","1nF/2kV","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","",""
"7","2","C34, C35","18pF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","",""
"8","2","D1, D2","BAT60A","Diode:BAT60A","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9","","","",""
"9","1","D3","LED","Device:LED","HPT:LED","~","","","",""
"10","3","D4, D6, D7","ESD9B3.3ST5G","Diode:ESD9B3.3ST5G","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","",""
"11","1","D5","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","",""
"12","1","J1","USB_B_Micro","Connector:USB_B_Micro","HPT:Micro USB, Type B","~","","","",""
"13","1","J2","Ethernet_(100_Base-T_&_PoE)","HPT:Ethernet_(100_Base-T_&_PoE)","HPT:PoE, 10 Pin with LED","","","","",""
"14","1","J3","Display","Connector_Generic:Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","","","",""
"15","1","J4","Extra I2C","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","",""
"16","1","J5","Debugger","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","",""
"17","3","L1, L2, L3","120r@100MHz","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","",""
"18","1","MOD1","Adafruit_3847_connector","HPT:Adafruit_3847_connector","HPT:Adafruit 3847 connector","","","","",""
"19","1","Q1","2N7002","Transistor_FET:2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","","","",""
"20","3","R1, R17, R21","470R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"21","4","R2, R3, R8, R10","DNP","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"22","2","R4, R5","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"23","1","R6","200k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"24","1","R7","100k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"25","2","R9, R11","1k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"26","4","R12, R13, R14, R15","49R9","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"27","1","R16","4k7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"28","4","R18, R19, R20, R22","3R3","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"29","1","R23","12K/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"30","1","R24","300R/1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"31","1","R25","1M","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"32","1","R26","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"33","1","R27","4R7","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"34","3","R28, R29, R30","100R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","",""
"35","1","SW1","BOOTSEL","Switch:SW_Push","HPT:Switch","~","","","",""
"36","1","SW2","RESET","Switch:SW_Push","HPT:Switch","~","","","",""
"37","1","SW3","Display","Switch:SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm","~","","","",""
"38","1","U1","NCP1117-3.3_TO252","Regulator_Linear:NCP1117-3.3_TO252","Package_TO_SOT_SMD:TO-252-2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","",""
"39","1","U2","USB6B1","Power_Protection:USB6B1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/3e/ec/b2/54/b2/76/47/90/CD00001361.pdf/files/CD00001361.pdf/jcr:content/translations/en.CD00001361.pdf","","","",""
"40","1","U3","RP2040","MCU_RaspberryPi:RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf","","","",""
"41","1","U4","W25Q16JVUXIQ","HPT:W25Q16JVUXIQ","SON50P300X200X60-9N","","SPIFLASH, 3V, 16M-BIT, 4KB UNIFO","0.6mm","Winbond","W25Q16JVUXIQ"
"42","1","U5","W5100S","HPT:W5100S","HPT:LQFP48","","","","",""
"43","1","U6","SCD4x","HPT:SCD4x","HPT:SDC4x","","","","",""
"44","1","U7","SGP41","HPT:SGP41","HPT:XDCR_SGP41-D-R4","","","","",""
"45","1","U8","SHT4x","HPT:SHT4x","HPT:SHT4x","","","","",""
"46","1","Y1","12MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
"47","1","Y2","25MHz","HPT:Crystal","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","","","","",""
